0,2147483647,43,48,21,11,2147483647,2147483647,2147483647,2147483647,26,2147483647,2147483647,2147483647,9,2147483647,2147483647,2147483647,32,2147483647,3,2147483647,3,2,2147483647,50,2147483647,2147483647,2147483647,3,2,2147483647,43,2147483647,2147483647,2147483647,24,38,2147483647,19,2147483647,2147483647,49,45,37,2147483647,2147483647,27,2147483647,2147483647,27,2147483647,44,2147483647,8,42,2147483647,2147483647,2147483647,22,12,2147483647,2147483647,25
5,0,23,16,17,1,2147483647,38,4,2147483647,41,27,2147483647,34,38,2147483647,6,2147483647,18,2,2147483647,49,12,2147483647,44,2147483647,35,2147483647,7,50,37,2147483647,2147483647,2147483647,2147483647,8,9,2147483647,44,35,40,2147483647,2147483647,2147483647,2147483647,49,2147483647,9,44,2147483647,2147483647,2147483647,2147483647,11,49,2147483647,12,2147483647,20,44,49,2147483647,2147483647,11
46,2147483647,0,2147483647,16,2147483647,13,2147483647,2147483647,41,31,39,30,2147483647,39,2147483647,2147483647,1,42,37,2147483647,2147483647,18,16,2147483647,2147483647,29,2147483647,13,27,2147483647,34,2147483647,2147483647,30,4,36,2147483647,2147483647,2147483647,2147483647,21,24,20,16,2147483647,2147483647,2147483647,2147483647,30,2147483647,2147483647,34,2147483647,2147483647,2147483647,2147483647,23,2147483647,35,2147483647,19,22,2147483647
37,2147483647,14,0,22,2147483647,33,8,2147483647,2147483647,2147483647,16,2147483647,48,15,39,48,7,2147483647,2147483647,2147483647,44,2147483647,2147483647,2147483647,19,2147483647,32,2147483647,1,2147483647,2147483647,2147483647,2147483647,33,2147483647,37,27,34,47,2147483647,2147483647,2147483647,18,2147483647,2147483647,2147483647,44,2147483647,2147483647,2,2147483647,36,2147483647,2147483647,2147483647,1,40,2147483647,26,41,11,10,2147483647
2147483647,5,4,9,0,2147483647,47,2147483647,45,43,24,50,2147483647,2147483647,14,8,2147483647,2147483647,2147483647,21,35,2147483647,5,2147483647,14,2147483647,2147483647,2147483647,42,49,2147483647,44,37,42,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,49,25,23,15,2147483647,2147483647,2147483647,2147483647,12,16,30,2147483647,3,4,31,27,18,50,28,38,2147483647,2147483647,27,2147483647
36,2147483647,22,2147483647,2147483647,0,13,2147483647,2147483647,3,2147483647,2147483647,2147483647,36,2147483647,42,7,31,2147483647,2147483647,4,2147483647,2147483647,2147483647,2147483647,2147483647,35,43,2147483647,24,2147483647,5,41,50,2147483647,2147483647,35,2147483647,2147483647,12,2147483647,2147483647,2147483647,23,41,2147483647,2147483647,2147483647,2147483647,29,31,2147483647,27,39,14,2147483647,2147483647,49,2147483647,1,2147483647,2147483647,2147483647,2147483647
2147483647,1,10,22,2147483647,42,0,34,2147483647,2147483647,19,44,2147483647,35,2147483647,32,5,2147483647,46,14,15,42,2147483647,34,2147483647,2147483647,45,32,7,42,5,2147483647,2147483647,2147483647,5,27,15,2147483647,2147483647,37,2147483647,2147483647,11,2147483647,20,43,2147483647,2147483647,23,2147483647,3,2147483647,32,13,2147483647,2147483647,2147483647,2147483647,41,34,2147483647,29,17,8
2147483647,12,8,16,20,2147483647,8,0,2147483647,36,2147483647,47,9,43,25,2147483647,2147483647,2147483647,2147483647,15,2147483647,2147483647,25,2147483647,48,7,2147483647,2147483647,43,44,2147483647,16,2147483647,3,2147483647,48,39,31,17,2147483647,2147483647,35,1,2147483647,2147483647,2147483647,2147483647,2147483647,6,31,16,2147483647,2147483647,2147483647,49,2147483647,31,2147483647,2147483647,8,2147483647,2147483647,2147483647,2147483647
49,2147483647,14,2147483647,2147483647,38,35,30,0,2147483647,2147483647,2147483647,15,38,21,2147483647,41,2147483647,2147483647,2147483647,30,24,2147483647,9,27,37,2147483647,4,36,2147483647,32,2147483647,2147483647,2147483647,2147483647,12,24,23,2147483647,43,46,15,20,34,44,26,2147483647,2147483647,2147483647,12,2147483647,2147483647,42,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,10,2147483647,2147483647,39,2147483647
4,2147483647,2147483647,38,12,41,2147483647,2147483647,2147483647,0,2147483647,17,2147483647,32,12,46,31,2147483647,48,42,2147483647,2147483647,2147483647,28,29,2147483647,2147483647,35,2147483647,2147483647,37,2147483647,20,2147483647,15,17,2147483647,2147483647,2147483647,2147483647,44,2147483647,29,2147483647,8,43,12,2147483647,20,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,29,27,7,44,12,18,2147483647,33,2147483647
